  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   410    1414       3       1      15       2       0
   411    1417       3       1      15       2       0
   412    1420       3       1      15       2       0
   413    1423       3       1      15       2       0
   414    1426       3       1      15       2       0
   415    1429       3       1      15       2       0
   416    1432       3       1      14       3       0
   417    1435       3       1      14       2       0
   418    1438       3       1      15       1       0
   419    1441       3       1      15       2       0
   420    1444       3       1      16       1       0
   421    1447       3       1      16       2       0
   422    1450       3       1      16       1       1
   423    1453       3       1      16       1       1
   424    1456       3       1      16       2       0
   425    1459       3       1      16       2       0
   426    1462       3       1      16       1       1
   427    1465       3       1      16       2       0
   428    1468       3       1      15       3       0
   429    1471       3       1      14       3       0
   430    1474       3       1      15       1       0
   431    1477       3       1      15       2       0
   432    1480       3       1      14       3       0
   433    1483       3       1      15       1       0
   434    1486       3       1      15       2       0
   435    1489       3       1      15       2       0
   436    1492       3       1      15       2       0
   437    1495       3       1      15       2       0
   438    1498       3       1      15       2       0
   439    1501       3       1      15       2       0
   440    1504       3       1      15       2       0
   441    1507       3       1      15       2       0
   442    1510       3       1      15       2       0
   443    1513       3       1      15       2       0
   444    1516       3       1      15       2       0
   445    1519       3       1      15       2       0
   446    1522       3       1      15       2       0
   447    1525       3       1      15       2       0
   448    1528       3       1      15       2       0
   449    1531       3       1      15       2       0
   450    1534       3       1      15       2       0
   451    1537       3       1      16       1       0
   452    1540       3       1      16       2       0
   453    1543       3       1      15       3       0
   454    1546       3       1      14       3       0
   455    1549       3       1      14       2       0
   456    1552       3       1      14       2       0
   457    1555       3       1      13       3       0
   458    1558       3       1      13       2       0
   459    1561       3       1      14       1       0
   460    1564       3       1      14       2       0
   461    1567       3       1      13       3       0
   462    1570       3       1      13       2       0
   463    1573       3       1      13       2       0
   464    1576       3       1      13       2       0
   465    1579       3       1      13       2       0
   466    1582       3       1      14       1       0
   467    1585       3       1      14       2       0
   468    1588       3       1      14       2       0
   469    1591       3       1      15       1       0
   470    1594       3       1      15       2       0
   471    1597       3       1      14       3       0
   472    1600       3       1      14       2       0
   473    1603       3       1      13       3       0
   474    1606       3       1      14       1       0
   475    1609       3       1      14       2       0
   476    1612       3       1      15       1       0
   477    1615       3       1      15       2       0
   478    1618       3       1      16       1       0
   479    1621       3       1      16       2       0
   480    1624       3       1      16       2       0
   481    1627       3       1      16       2       0
   482    1630       3       1      15       3       0
   483    1633       3       1      16       1       0
   484    1636       3       1      15       3       0
   485    1639       3       1      14       3       0
   486    1642       3       1      15       1       0
   487    1645       3       1      14       3       0
   488    1648       3       1      13       3       0
   489    1651       3       1      13       2       0
   490    1654       3       1      13       2       0
   491    1657       3       1      14       1       0
   492    1660       3       1      14       2       0
   493    1663       3       1      14       2       0
   494    1666       3       1      13       3       0
   495    1669       3       1      14       1       0
   496    1672       3       1      13       3       0
   497    1675       3       1      14       1       0
   498    1678       3       1      14       2       0
   499    1681       3       1      14       2       0
   500    1684       3       1      14       2       0
