  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    16      35   1.10323862e-03   1.89231119e-02
    16      36   3.41152988e-04   3.44445788e-03
    16      37   1.24654181e-03   1.29478437e-02
    16      38   9.43990395e-04   1.17389067e-02
    16      39   7.80936473e-04   7.73108657e-03
    16      40   1.09486423e-02   3.85793413e-01
    16      41   1.59707436e-03   4.39578624e-01
    16      42   2.91290684e-03   9.83757719e-02
    16      43   1.90311860e-03   1.04044846e-01
    16      44   9.94886083e-04   1.95870071e-02
    16      45   4.29129868e-03   1.97214823e-02
    16      46   1.10777212e-03   1.88976340e-02
    16      47   4.49063832e-04   3.43627173e-03
    16      48   1.11190000e-03   1.29483694e-02
    16      49   9.97744366e-04   1.17337608e-02
    16      50   8.52474868e-04   7.73125937e-03
    17       1   7.76616821e-03   8.89329851e-02
    17       2   7.33057361e-03   4.91827191e-03
    17       3   7.71496165e-03   2.89808457e-03
    17       4   7.85321120e-03   2.34457746e-03
    17       5   7.42266165e-03   6.46898069e-04
    17       6   4.93514077e-03   2.77882725e-03
    17       7   1.10008591e-03   2.51781546e-03
    17       8   7.51164779e-05   5.61214545e-04
    17       9   1.27586869e-04   1.42923674e-03
    17      10   6.69553498e-05   1.03067303e-05
    17      11   4.13582694e-06   1.06491554e-05
    17      12   3.61125328e-07   7.67237324e-07
    18       1   1.75868374e-03   2.49288307e-02
    18       2   4.95628413e-03   6.08218166e-04
    18       3   4.81392150e-05   9.34975470e-04
    18       4   4.82505078e-05   3.01608299e-04
    18       5   8.01247763e-05   7.68530302e-04
    18       6   9.33006452e-05   3.80312024e-04
    18       7   7.90448568e-05   3.80065906e-04
    18       8   3.06152756e-05   3.72126707e-04
    18       9   1.26597353e-04   3.79080749e-04
    18      10   2.29255047e-05   3.78381044e-04
    18      11   1.53292611e-04   3.81157292e-04
    18      12   9.90790622e-06   3.79712508e-04
    18      13   1.53549817e-04   3.79789520e-04
    18      14   9.91008493e-06   3.79735299e-04
    18      15   1.53585790e-04   3.79782813e-04
    18      16   9.92413018e-06   3.79736319e-04
    18      17   1.53681479e-04   3.79792302e-04
    18      18   9.90879453e-06   3.79742153e-04
    18      19   1.53696177e-04   3.79792159e-04
    18      20   9.90753499e-06   3.79743165e-04
    18      21   1.53697363e-04   3.79792144e-04
    18      22   9.90726421e-06   3.79743233e-04
    18      23   1.53697433e-04   3.79792127e-04
    18      24   9.90724907e-06   3.79743237e-04
    18      25   1.53697441e-04   3.79792126e-04
    18      26   9.90724421e-06   3.79743237e-04
    18      27   1.53697439e-04   3.79792125e-04
    18      28   9.90724666e-06   3.79743237e-04
    18      29   1.53697436e-04   3.79792126e-04
    18      30   9.90724937e-06   3.79743237e-04
    18      31   1.53697438e-04   3.79792126e-04
    18      32   9.90724761e-06   3.79743237e-04
    18      33   1.53697437e-04   3.79792126e-04
    18      34   9.90724884e-06   3.79743237e-04
    18      35   1.53697435e-04   3.79792126e-04
    18      36   9.90725039e-06   3.79743237e-04
    18      37   1.53697434e-04   3.79792126e-04
    18      38   9.90725138e-06   3.79743237e-04
    18      39   1.53697442e-04   3.79792126e-04
    18      40   9.90724395e-06   3.79743237e-04
    18      41   1.53697438e-04   3.79792126e-04
    18      42   9.90724756e-06   3.79743237e-04
    18      43   1.53697437e-04   3.79792126e-04
    18      44   9.90724900e-06   3.79743237e-04
    18      45   1.53697437e-04   3.79792126e-04
    18      46   9.90724841e-06   3.79743237e-04
    18      47   1.53697439e-04   3.79792126e-04
    18      48   9.90724703e-06   3.79743237e-04
    18      49   1.53697437e-04   3.79792126e-04
    18      50   9.90724876e-06   3.79743237e-04
    19       1   1.58520217e-03   1.02679464e-02
    19       2   1.59431985e-01   2.88712311e-02
    19       3   1.31629443e-01   7.33600779e-03
    19       4   1.30435435e-01   1.74286317e-03
    19       5   1.29614283e-01   4.38059854e-04
    19       6   1.11365180e-01   2.98060137e-03
    19       7   1.24116471e-02   2.03121851e-02
    19       8   1.24273528e-02   3.30922309e-04
    19       9   1.27798709e-02   6.32456659e-04
    19      10   4.38384729e-03   1.65811133e-03
    19      11   1.01873829e-03   1.41438446e-03
    19      12   3.50587358e-03   5.67240811e-04
    19      13   3.06685970e-03   6.29635510e-04
    19      14   6.31841815e-04   6.32676163e-04
    19      15   3.10090201e-04   5.87214928e-04
    19      16   1.55701986e-04   3.19920701e-04
    19      17   4.68160415e-05   5.89390503e-04
    19      18   1.39425705e-04   4.29887606e-04
    19      19   2.14073732e-04   6.26844059e-04
    19      20   1.07832767e-04   3.19064048e-04
    19      21   2.68858187e-05   5.92286154e-04
    19      22   2.36678501e-05   4.29654084e-04
    19      23   9.92774799e-05   6.28926704e-04
    19      24   6.02103130e-05   3.18813417e-04
    19      25   6.32682556e-05   5.90732899e-04
    19      26   5.05337177e-05   4.29722985e-04
    19      27   1.40716980e-04   6.38949909e-04
    19      28   5.65469480e-05   3.19127086e-04
    19      29   5.16589981e-05   5.89027056e-04
    19      30   3.28725812e-05   4.29480624e-04
    19      31   1.60192372e-04   6.33802662e-04
