t_s,face_idx,x_m,y_m,z_m,P_Pa
0.48,222,0.00219419,0.0011728195,0.0275,30241.800896125547
0.48,223,0.0019232249999999998,0.00157835,0.0275,51522.063561254996
0.48,227,0.00247598,-0.00024386300000000006,0.0285,10665.093565201385
0.48,228,0.00247598,0.00024386299999999995,0.0285,10665.087552594212
0.48,230,0.00219419,0.0011728195,0.0285,30241.802191727926
0.48,231,0.0019232249999999998,0.00157835,0.0285,51522.09576696197
0.48,235,0.00247598,-0.00024386300000000006,0.0295,10665.08937309885
0.48,236,0.00247598,0.00024386299999999995,0.0295,10665.1424842092
0.48,448,0.00157835,0.001923225,0.0265,18322.571452066983
0.48,449,0.0011728195,0.00219419,0.0265,18322.637648660195
0.48,456,0.00157835,0.001923225,0.0275,39602.949421602425
0.48,457,0.0011728195,0.00219419,0.0275,18322.650168097956
0.48,464,0.00157835,0.001923225,0.0285,21280.283182328658
0.5,215,0.0019232249999999998,0.00157835,0.0265,2247.9106460001917
0.5,222,0.00219419,0.0011728195,0.0275,43999.44649799586
0.5,223,0.0019232249999999998,0.00157835,0.0275,46247.344242237305
0.5,227,0.00247598,-0.00024386300000000006,0.0285,9503.13991751379
0.5,228,0.00247598,0.00024386299999999995,0.0285,9503.132863419305
0.5,230,0.00219419,0.0011728195,0.0285,43999.44049173353
0.5,231,0.0019232249999999998,0.00157835,0.0285,43999.41236009408
0.5,235,0.00247598,-0.00024386300000000006,0.0295,9503.135744549794
0.5,236,0.00247598,0.00024386299999999995,0.0295,9503.139506706402
0.5,448,0.00157835,0.001923225,0.0265,31314.921382784916
0.5,449,0.0011728195,0.00219419,0.0265,29067.047214027436
0.5,456,0.00157835,0.001923225,0.0275,31314.910002846886
0.5,457,0.0011728195,0.00219419,0.0275,29067.00118794507
0.52,215,0.0019232249999999998,0.00157835,0.0265,23485.817056036183
0.52,221,0.00238083,0.0007222175,0.0275,19316.19028680863
0.52,222,0.00219419,0.0011728195,0.0275,36819.998754231376
0.52,223,0.0019232249999999998,0.00157835,0.0275,40989.61788123915
0.52,226,0.00238083,-0.0007222175,0.0285,2301.040028378472
0.52,227,0.00247598,-0.00024386300000000006,0.0285,7647.646066823151
0.52,228,0.00247598,0.00024386299999999995,0.0285,5346.600380491233
0.52,229,0.00238083,0.0007222175,0.0285,19316.208330218436
0.52,230,0.00219419,0.0011728195,0.0285,36820.02227177626
0.52,231,0.0019232249999999998,0.00157835,0.0285,17503.84123709993
0.52,234,0.00238083,-0.0007222175,0.0295,2301.046442291265
0.52,235,0.00247598,-0.00024386300000000006,0.0295,7647.641139323982
0.52,236,0.00247598,0.00024386299999999995,0.0295,5346.601212948745
0.52,448,0.00157835,0.001923225,0.0265,43469.00893889807
0.52,449,0.0011728195,0.00219419,0.0265,19983.162194482633
0.52,456,0.00157835,0.001923225,0.0275,43469.06000605488
0.52,457,0.0011728195,0.00219419,0.0275,19983.16007238595
0.54,215,0.0019232249999999998,0.00157835,0.0265,47365.90820885841
0.54,221,0.00238083,0.0007222175,0.0275,30716.63287260503
0.54,222,0.00219419,0.0011728195,0.0275,30716.59727062228
0.54,223,0.0019232249999999998,0.00157835,0.0275,47365.862070166106
0.54,226,0.00238083,-0.0007222175,0.0285,6209.65186661861
0.54,227,0.00247598,-0.00024386300000000006,0.0285,6209.651570791372
0.54,229,0.00238083,0.0007222175,0.0285,30716.622209170397
0.54,230,0.00219419,0.0011728195,0.0285,30716.599374930815
0.54,234,0.00238083,-0.0007222175,0.0295,6209.655360818023
0.54,235,0.00247598,-0.00024386300000000006,0.0295,6209.6513432502
0.54,448,0.00157835,0.001923225,0.0265,52953.61236875157
0.54,449,0.0011728195,0.00219419,0.0265,5587.701125632974
0.54,456,0.00157835,0.001923225,0.0275,52953.580246381825
0.54,457,0.0011728195,0.00219419,0.0275,5587.70362166785
0.56,215,0.0019232249999999998,0.00157835,0.0265,53701.38002751884
0.56,220,0.00247598,0.00024386299999999995,0.0275,4211.562681801139
0.56,221,0.00238083,0.0007222175,0.0275,28185.906447118214
0.56,222,0.00219419,0.0011728195,0.0275,23974.371917998185
0.56,223,0.0019232249999999998,0.00157835,0.0275,53701.338849417894
0.56,226,0.00238083,-0.0007222175,0.0285,6471.002802485021
0.56,227,0.00247598,-0.00024386300000000006,0.0285,6471.001752743851
0.56,228,0.00247598,0.00024386299999999995,0.0285,4211.56541952087
0.56,229,0.00238083,0.0007222175,0.0285,28185.9566499099
0.56,230,0.00219419,0.0011728195,0.0285,23974.42045838856
0.56,234,0.00238083,-0.0007222175,0.0295,6471.001643119943
0.56,235,0.00247598,-0.00024386300000000006,0.0295,6471.001424399588
0.56,448,0.00157835,0.001923225,0.0265,53701.43047200885
0.56,456,0.00157835,0.001923225,0.0275,53701.403822432796
0.58,215,0.0019232249999999998,0.00157835,0.0265,55857.21225714724
0.58,220,0.00247598,0.00024386299999999995,0.0275,12497.328983026735
0.58,221,0.00238083,0.0007222175,0.0275,26496.86149374865
0.58,222,0.00219419,0.0011728195,0.0275,13999.51910111558
0.58,223,0.0019232249999999998,0.00157835,0.0275,55857.207781091245
0.58,226,0.00238083,-0.0007222175,0.0285,5876.483287565447
0.58,227,0.00247598,-0.00024386300000000006,0.0285,5876.48534070433
0.58,228,0.00247598,0.00024386299999999995,0.0285,12497.38426166452
0.58,229,0.00238083,0.0007222175,0.0285,26496.795114013315
0.58,230,0.00219419,0.0011728195,0.0285,13999.516534455752
0.58,234,0.00238083,-0.0007222175,0.0295,5876.485224977937
0.58,235,0.00247598,-0.00024386300000000006,0.0295,5876.481318916618
0.58,448,0.00157835,0.001923225,0.0265,55857.159068466775
0.58,456,0.00157835,0.001923225,0.0275,55857.19488203825
0.6,214,0.00219419,0.0011728195,0.0265,2004.4179829828408
0.6,215,0.0019232249999999998,0.00157835,0.0265,58679.086272538356
0.6,220,0.00247598,0.00024386299999999995,0.0275,21000.764238191427
0.6,221,0.00238083,0.0007222175,0.0275,24271.13353612064
0.6,222,0.00219419,0.0011728195,0.0275,5274.820839928215
0.6,223,0.0019232249999999998,0.00157835,0.0275,58679.118621363086
0.6,226,0.00238083,-0.0007222175,0.0285,5309.088206518706
0.6,227,0.00247598,-0.00024386300000000006,0.0285,5309.094517772687
0.6,228,0.00247598,0.00024386299999999995,0.0285,21000.70386725169
0.6,229,0.00238083,0.0007222175,0.0285,24271.137909591303
0.6,230,0.00219419,0.0011728195,0.0285,3270.4069860914865
0.6,234,0.00238083,-0.0007222175,0.0295,5309.095939764604
0.6,235,0.00247598,-0.00024386300000000006,0.0295,5309.093519862878
0.6,448,0.00157835,0.001923225,0.0265,56674.64425278733
0.6,456,0.00157835,0.001923225,0.0275,56674.67280664265
0.62,214,0.00219419,0.0011728195,0.0265,22200.303195057946
0.62,215,0.0019232249999999998,0.00157835,0.0265,61305.60420785363
0.62,220,0.00247598,0.00024386299999999995,0.0275,19714.764632655395
0.62,221,0.00238083,0.0007222175,0.0275,19714.796110485142
0.62,222,0.00219419,0.0011728195,0.0275,22200.354910831946
0.62,223,0.0019232249999999998,0.00157835,0.0275,61305.67734052042
0.62,226,0.00238083,-0.0007222175,0.0285,5503.443307648404
0.62,227,0.00247598,-0.00024386300000000006,0.0285,5503.444135994569
0.62,228,0.00247598,0.00024386299999999995,0.0285,19714.776170986574
0.62,229,0.00238083,0.0007222175,0.0285,19714.74658043821
0.62,234,0.00238083,-0.0007222175,0.0295,5503.441395873041
0.62,235,0.00247598,-0.00024386300000000006,0.0295,5503.443875473611
0.62,448,0.00157835,0.001923225,0.0265,39105.4149220092
