  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    71       2   6.85703564e-03   6.29381680e+00
    71       3   1.31708774e-04   1.61481088e-02
    71       4   2.25689048e-07   1.80505239e-04
    72       1   8.20654047e-01   8.91507806e-01
    72       2   6.25340341e-03   5.79954185e+00
    72       3   1.16442934e-04   1.48266136e-02
    72       4   1.75925374e-07   1.59801395e-04
    73       1   8.06400988e-01   8.77574804e-01
    73       2   5.57490746e-03   5.29119544e+00
    73       3   1.00815597e-04   1.32876392e-02
    73       4   2.22147992e-07   1.38439260e-04
    74       1   7.89795913e-01   8.61819257e-01
    74       2   4.86227254e-03   4.77941003e+00
    74       3   8.27312647e-05   1.16298240e-02
    74       4   8.73838037e-08   1.12965576e-04
    75       1   7.70334590e-01   8.43728981e-01
    75       2   4.13560915e-03   4.27084543e+00
    75       3   6.73598577e-05   9.92379668e-03
    75       4   3.29952443e-08   9.14793291e-05
    76       1   7.47324045e-01   8.22598908e-01
    76       2   3.41956609e-03   3.76955461e+00
    76       3   5.19967939e-05   8.22875569e-03
    76       4   1.00524971e-07   7.01625030e-05
    77       1   7.19780506e-01   7.97420632e-01
    77       2   2.73920436e-03   3.27752583e+00
    77       3   3.74819874e-05   6.60614589e-03
    77       4   4.83930202e-08   5.04643629e-05
    78       1   6.86297636e-01   7.66711501e-01
    78       2   2.09377612e-03   2.79582928e+00
    78       3   2.82441668e-05   5.07864101e-03
    78       4   4.10971710e-07   3.63891034e-05
    79       1   6.44781510e-01   7.28197653e-01
    79       2   1.49365270e-03   2.32448591e+00
    79       3   2.23028993e-05   3.67011357e-03
    79       4   5.91837931e-07   2.80076586e-05
    80       1   5.92013657e-01   6.78190556e-01
    80       2   9.54426889e-04   1.86312618e+00
    80       3   1.62188418e-05   2.43995602e-03
    80       4   3.09368092e-07   2.00423911e-05
    81       1   5.22758102e-01   6.10335653e-01
    81       2   1.09557422e-03   1.40915261e+00
    81       3   1.02453366e-05   2.15776745e-03
    81       4   8.95679768e-07   2.12751526e-05
    82       1   4.27935180e-01   5.12699586e-01
    82       2   3.84980687e-04   9.66697823e-01
    82       3   1.56967888e-06   7.97824871e-04
    83       1   2.90213812e-01   3.60338330e-01
    83       2   1.66654258e-04   5.31370560e-01
    83       3   1.74486532e-05   1.94896927e-04
    84       1   7.18638373e-02   9.37273588e-02
    84       2   4.22563715e-04   1.01852860e-01
    84       3   1.24810037e-05   4.64030277e-04
    85       1   3.21088337e-01   4.41167019e-01
    85       2   1.82831331e-03   3.16710927e-01
    85       3   2.05540158e-05   2.18029577e-03
    85       4   4.87502698e-07   2.84355759e-05
