# Time forceX forceY forceZ normalForce
0.428 0.0458422 -10293.7 1.04286e-20 -10293.7
0.43 0.045842 -10352.9 1.04286e-20 -10352.9
0.432 0.0458418 -10412.1 1.04286e-20 -10412.1
0.434 0.0458417 -10471.3 1.04286e-20 -10471.3
0.436 0.0458416 -10530.6 1.04286e-20 -10530.6
0.438 0.0458415 -10589.8 1.04286e-20 -10589.8
0.44 0.0458415 -10649 1.04286e-20 -10649
0.442 0.0458415 -10708.2 1.04286e-20 -10708.2
0.444 0.0458415 -10767.5 1.04286e-20 -10767.5
0.446 0.0458416 -10826.7 1.04286e-20 -10826.7
0.448 -0.0904396 -7626.78 2.08086e-20 -7626.78
0.45 -0.0356178 -7681.77 2.08086e-20 -7681.77
0.452 -0.00767758 -7736.84 2.08086e-20 -7736.84
0.454 0.00691485 -7791.93 2.08086e-20 -7791.93
0.456 0.0146772 -7847.01 2.08086e-20 -7847.01
0.458 0.018863 -7902.1 2.08086e-20 -7902.1
0.46 0.0211431 -7957.2 2.08086e-20 -7957.2
0.462 0.0223946 -8012.29 2.08086e-20 -8012.29
0.464 0.0230854 -8067.38 2.08086e-20 -8067.38
0.466 0.0234685 -8122.48 2.08086e-20 -8122.48
0.468 0.0236818 -8177.57 2.08086e-20 -8177.57
0.47 0.0238009 -8232.67 2.08086e-20 -8232.67
0.472 0.0238676 -8287.76 2.08086e-20 -8287.76
0.474 0.0239052 -8342.86 2.08086e-20 -8342.86
0.476 0.0239266 -8397.95 2.08086e-20 -8397.95
0.478 0.0239388 -8453.04 2.08086e-20 -8453.04
0.48 0.023946 -8508.14 2.08086e-20 -8508.14
0.482 0.0239502 -8563.23 2.08086e-20 -8563.23
0.484 0.0239528 -8618.33 2.08086e-20 -8618.33
0.486 0.0239545 -8673.42 2.08086e-20 -8673.42
0.488 0.0239556 -8728.52 2.08086e-20 -8728.52
0.49 0.0239564 -8783.61 2.08086e-20 -8783.61
0.492 0.023957 -8838.71 2.08086e-20 -8838.71
0.494 0.0239575 -8893.8 2.08086e-20 -8893.8
0.496 0.0239578 -8948.89 2.08086e-20 -8948.89
0.498 0.0239581 -9003.99 2.08086e-20 -9003.99
