# Time Dx Dy Dz magD
0.226 4.43436e-05 -2.37371e-05 -1.9466e-05 5.39327e-05
0.227 4.44497e-05 -2.37959e-05 -1.94554e-05 5.4042e-05
0.228 4.45654e-05 -2.38547e-05 -1.94424e-05 5.41583e-05
0.229 4.47116e-05 -2.39144e-05 -1.94262e-05 5.42992e-05
0.23 4.48199e-05 -2.39737e-05 -1.94153e-05 5.44106e-05
0.231 4.49539e-05 -2.40301e-05 -1.94059e-05 5.45425e-05
0.232 4.50133e-05 -2.40859e-05 -1.94045e-05 5.46156e-05
0.233 4.50419e-05 -2.41099e-05 -1.94125e-05 5.46526e-05
0.234 4.52103e-05 -2.41848e-05 -1.94e-05 5.482e-05
0.235 4.53102e-05 -2.42426e-05 -1.93903e-05 5.49245e-05
0.236 4.53999e-05 -2.4293e-05 -1.93942e-05 5.50221e-05
0.237 4.55019e-05 -2.4347e-05 -1.93937e-05 5.513e-05
0.238 4.5516e-05 -2.43827e-05 -1.93846e-05 5.51542e-05
0.239 4.55909e-05 -2.4444e-05 -1.93761e-05 5.52402e-05
0.24 4.56728e-05 -2.44895e-05 -1.93761e-05 5.53279e-05
0.241 4.57526e-05 -2.45324e-05 -1.93728e-05 5.54116e-05
0.242 4.58067e-05 -2.45771e-05 -1.93612e-05 5.5472e-05
0.243 4.58801e-05 -2.46197e-05 -1.935e-05 5.55476e-05
0.244 4.59687e-05 -2.4658e-05 -1.93447e-05 5.56359e-05
0.245 4.60448e-05 -2.4693e-05 -1.93442e-05 5.57141e-05
0.246 4.6081e-05 -2.47175e-05 -1.93483e-05 5.57564e-05
0.247 4.61074e-05 -2.47658e-05 -1.93362e-05 5.57954e-05
0.248 4.61644e-05 -2.47993e-05 -1.93275e-05 5.58544e-05
0.249 4.61873e-05 -2.4817e-05 -1.9323e-05 5.58796e-05
0.25 4.62747e-05 -2.48557e-05 -1.93181e-05 5.59673e-05
