# Time forceX forceY forceZ normalForce
0.181 0.00892853 -1.82472e-05 0.00284593 -3.03786
0.182 0.00891531 3.8992e-07 0.00285687 -3.03547
0.183 0.00891448 -1.24394e-05 0.00282624 -3.02914
0.184 0.00890576 -1.51119e-05 0.00281747 -3.02433
0.185 0.00889452 -1.88019e-05 0.0028044 -3.01944
0.186 0.00888169 -2.26601e-05 0.00278929 -3.0148
0.187 0.00887922 -2.43046e-05 0.00279005 -3.01312
0.188 0.00886692 -1.98458e-05 0.00277503 -3.00607
0.189 0.00884124 -1.3626e-05 0.00277419 -2.99908
0.19 0.00882511 -2.3351e-05 0.00275148 -2.9935
0.191 0.00881362 -2.66809e-05 0.00274401 -2.98818
0.192 0.00880456 -2.02679e-05 0.00275216 -2.9866
0.193 0.00879929 -2.77378e-05 0.00273316 -2.97817
0.194 0.00876968 -3.02035e-05 0.00271905 -2.97053
0.195 0.00874954 -2.74459e-05 0.0027085 -2.96448
0.196 0.00874636 -1.17932e-05 0.00270849 -2.96285
0.197 0.00874268 -2.34694e-05 0.00270605 -2.95677
0.198 0.00872814 -2.2424e-05 0.00269134 -2.94885
0.199 0.00868714 -2.86105e-05 0.002674 -2.93934
0.2 0.00868867 -1.91141e-05 0.00267511 -2.93765
0.201 0.00864839 -3.18274e-05 0.00265501 -2.92622
0.202 0.00862681 -2.75246e-05 0.00264039 -2.91954
0.203 0.00860642 -2.93225e-05 0.00263164 -2.91283
0.204 0.00858289 -1.77671e-05 0.00262392 -2.90626
0.205 0.00856368 -2.30511e-05 0.00261361 -2.89959
0.206 0.00854643 -2.33892e-05 0.00260686 -2.89245
0.207 0.0085248 -2.53845e-05 0.00259819 -2.88558
0.208 0.00849448 -3.31591e-06 0.00259754 -2.87887
0.209 0.00848148 -1.53851e-05 0.00258412 -2.87197
0.21 0.0084883 -2.1146e-05 0.00258029 -2.86991
0.211 0.00844789 -1.55995e-05 0.00257711 -2.85773
0.212 0.00844859 -1.86026e-05 0.00257542 -2.85604
0.213 0.00845048 -1.82508e-05 0.00256176 -2.848
0.214 0.00839589 -1.90532e-05 0.00254727 -2.83733
0.215 0.00836602 -1.41389e-05 0.00254434 -2.8305
0.216 0.00834706 -2.49469e-05 0.00253031 -2.82341
0.217 0.00832609 -1.81028e-05 0.00251979 -2.81642
0.218 0.00832204 -1.31829e-05 0.00252601 -2.8146
0.219 0.00828397 -1.08662e-05 0.00252153 -2.8031
0.22 0.00826413 -1.90574e-05 0.00250413 -2.79645
0.221 0.00824647 -2.06029e-05 0.00249405 -2.78961
0.222 0.00824077 -2.07905e-05 0.00250258 -2.78768
0.223 0.00823309 -1.66135e-05 0.00249456 -2.77944
0.224 0.0081842 -1.82287e-05 0.00248421 -2.77003
0.225 0.00816705 -2.15278e-05 0.00247611 -2.76368
0.226 0.00813568 -7.87822e-06 0.00248325 -2.75694
0.227 0.00812392 -2.02446e-05 0.00246349 -2.75108
0.228 0.0080989 -1.73482e-05 0.00245498 -2.74506
0.229 0.00808934 -1.61114e-05 0.00245122 -2.73902
0.23 0.00805522 -1.09865e-07 0.00246638 -2.73344
0.231 0.00805002 -1.9075e-05 0.00244411 -2.72727
0.232 0.00803295 -1.7683e-05 0.00244228 -2.72167
0.233 0.00802918 -1.56586e-05 0.00244451 -2.71976
0.234 0.00801573 -1.52644e-05 0.00243644 -2.71209
0.235 0.00799291 -1.69213e-05 0.0024335 -2.70587
0.236 0.00797163 -1.5209e-05 0.00242847 -2.70091
0.237 0.00794876 -4.25587e-06 0.0024415 -2.6954
0.238 0.00795675 -1.20818e-05 0.00242576 -2.69161
0.239 0.00792725 -1.47086e-05 0.00242003 -2.68604
