  Time  Coordinate0  Coordinate1  Coordinate2  Force0  Force1  Force2
 7.80000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.69278634e-04   1.43786621e-04  -5.45239563e-05
 7.90000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.73688792e-04   1.45504346e-04  -5.51755234e-05
 8.00000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.77888930e-04   1.47140329e-04  -5.57961076e-05
 8.10000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.82089063e-04   1.48776346e-04  -5.64167185e-05
 8.20000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.86289182e-04   1.50412388e-04  -5.70373511e-05
 8.30000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.90130647e-04   1.51908801e-04  -5.76050441e-05
 8.40000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.93413502e-04   1.53187727e-04  -5.80902730e-05
 8.50000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.96696347e-04   1.54466682e-04  -5.85755268e-05
 8.60000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -3.99979178e-04   1.55745662e-04  -5.90608013e-05
 8.70000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.03222482e-04   1.57009266e-04  -5.95402516e-05
 8.80000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.05586300e-04   1.57930198e-04  -5.98896786e-05
 8.90000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.07950095e-04   1.58850987e-04  -6.02389999e-05
 9.00000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.10313929e-04   1.59771693e-04  -6.05882505e-05
 9.10000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.12677790e-04   1.60692332e-04  -6.09374461e-05
 9.20000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.14544186e-04   1.61418989e-04  -6.12129788e-05
 9.30000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.16193298e-04   1.62060749e-04  -6.14562062e-05
 9.40000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.17842475e-04   1.62702315e-04  -6.16992749e-05
 9.50000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.19491701e-04   1.63343725e-04  -6.19422161e-05
 9.60000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.20985982e-04   1.63924658e-04  -6.21621665e-05
 9.70000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.22189895e-04   1.64392406e-04  -6.23391491e-05
 9.80000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.23393845e-04   1.64860071e-04  -6.25160609e-05
 9.90000000e-02   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.24597836e-04   1.65327663e-04  -6.26929100e-05
 1.00000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.25801843e-04   1.65795182e-04  -6.28696997e-05
 1.01000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.26975581e-04   1.66250877e-04  -6.30419898e-05
 1.02000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.28149336e-04   1.66706539e-04  -6.32142506e-05
 1.03000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.29323101e-04   1.67162164e-04  -6.33864807e-05
 1.04000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.30496883e-04   1.67617756e-04  -6.35586815e-05
 1.05000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.31916595e-04   1.68169107e-04  -6.37671927e-05
 1.06000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.33467542e-04   1.68771563e-04  -6.39950839e-05
 1.07000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.35018536e-04   1.69374030e-04  -6.42229756e-05
 1.08000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.36569502e-04   1.69976476e-04  -6.44508539e-05
 1.09000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.38217095e-04   1.70616554e-04  -6.46930040e-05
 1.10000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.40086085e-04   1.71342883e-04  -6.49678767e-05
 1.11000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.41955084e-04   1.72069240e-04  -6.52427681e-05
 1.12000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.43824024e-04   1.72795590e-04  -6.55176618e-05
 1.13000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.45692973e-04   1.73521953e-04  -6.57925636e-05
 1.14000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.47796739e-04   1.74339824e-04  -6.61021935e-05
 1.15000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.49911021e-04   1.75161843e-04  -6.64134155e-05
 1.16000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.52025317e-04   1.75983906e-04  -6.67246690e-05
 1.17000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.54139557e-04   1.76805977e-04  -6.70359376e-05
 1.18000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.56354022e-04   1.77667146e-04  -6.73620580e-05
 1.19000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.58632882e-04   1.78553469e-04  -6.76977481e-05
 1.20000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.60911622e-04   1.79439807e-04  -6.80334676e-05
 1.21000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.63190433e-04   1.80326221e-04  -6.83692358e-05
 1.22000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.65489295e-04   1.81220505e-04  -6.87080112e-05
 1.23000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.67845052e-04   1.82137047e-04  -6.90552670e-05
 1.24000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.70200805e-04   1.83053667e-04  -6.94025844e-05
 1.25000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.72556540e-04   1.83970346e-04  -6.97499502e-05
 1.26000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.74912298e-04   1.84887088e-04  -7.00973624e-05
 1.27000000e-01   2.42342551e-03  -1.20708868e-03   2.46674042e-02  -4.77255647e-04   1.85799113e-04  -7.04430289e-05
