  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
    96       2   2.74788365e-05   9.17073337e-02
    96       3   1.94641201e-07   1.57121029e-05
    97       1   1.81448902e-01   1.28591891e-01
    97       2   5.32605041e-05   1.12163558e-01
    97       3   6.02975448e-07   3.27162329e-05
    98       1   2.07551585e-01   1.45075808e-01
    98       2   1.78604130e-05   1.25402497e-01
    98       3   4.74159003e-09   1.18021556e-05
    99       1   2.19803625e-01   1.52243898e-01
    99       2   2.01737734e-06   1.31137744e-01
    99       3   7.06850591e-08   1.31997930e-06
   100       1   2.17266634e-01   1.49927693e-01
   100       2   3.99680512e-06   1.29380943e-01
   100       3   1.96143240e-07   2.39871750e-06
   101       1   2.00766666e-01   1.38784356e-01
   101       2   5.40430560e-06   1.20553161e-01
   101       3   3.78840772e-07   3.46529198e-06
   102       1   1.72627182e-01   1.20136507e-01
   102       2   5.34374016e-06   1.05491431e-01
   102       3   3.44225382e-08   3.70777105e-06
   103       1   1.36249514e-01   9.58395688e-02
   103       2   4.37331567e-06   8.53465751e-02
   103       3   2.34434283e-07   3.06314613e-06
   104       1   9.53504007e-02   6.79782690e-02
   104       2   7.07686490e-06   6.15520987e-02
   104       3   1.21132721e-07   5.13974137e-06
   105       1   5.34209159e-02   3.86554063e-02
   105       2   5.62485914e-06   3.56298560e-02
   105       3   5.38649912e-08   3.56207071e-06
   106       1   1.34759688e-02   9.88778744e-03
   106       2   2.01768715e-05   9.27924448e-03
   106       3   1.30918812e-06   1.37799496e-05
   107       1   2.20988476e-02   1.65155543e-02
   107       2   8.90267605e-05   1.56824633e-02
   107       3   1.88106770e-06   5.54296618e-05
   108       1   5.25339945e-02   3.96598809e-02
   108       2   2.94717288e-05   3.85110441e-02
   108       3   3.15966665e-06   1.89401909e-05
   109       1   7.69225853e-02   5.87197863e-02
   109       2   6.54883043e-05   5.78080749e-02
   109       3   4.41103806e-07   3.89816730e-05
   110       1   9.47322232e-02   7.29976227e-02
   110       2   9.83203496e-06   7.25379107e-02
   110       3   1.24940437e-07   5.55967113e-06
   111       1   1.06063773e-01   8.22850681e-02
   111       2   1.54961998e-06   8.23438058e-02
   111       3   1.62444249e-07   1.27741548e-06
   112       1   1.11129696e-01   8.65951426e-02
   112       2   6.59938267e-06   8.69603373e-02
   112       3   3.21939448e-08   4.37811501e-06
   113       1   1.10297841e-01   8.61288971e-02
   113       2   4.99336413e-06   8.64800613e-02
